Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
emerald cut emerald engagement rings,USD,74000,-18%,22%,High,100,1.60,4.69,1%
mens jewelerry,USD,74000,-33%,-18%,High,100,1.11,3.28,< 1%
3 carat 3 diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
diamond stud earrings,USD,60500,-33%,0%,High,100,1.28,7.48,5%
mens wedding rings,USD,60500,0%,-18%,High,100,1.36,4.11,2%
diamond engagement rings,USD,60500,82%,233%,High,100,2.00,8.50,8%
silicone rings,USD,60500,0%,-18%,High,100,0.94,2.65,
wedding bands for women,USD,60500,-18%,-18%,High,100,0.98,3.63,5%
3 carat diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
mens gold wedding bands,USD,60500,-18%,0%,High,100,1.03,3.66,7%
emerald rings,USD,60500,-18%,-33%,High,100,0.94,4.61,2%
3 ct diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
mens gold wedding rings,USD,60500,-18%,0%,High,100,1.03,3.66,7%
female wedding bands,USD,60500,-18%,-18%,High,100,0.98,3.63,5%
ladies wedding bands,USD,60500,-18%,-18%,High,100,0.98,3.63,5%
three carat diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
female wedding rings,USD,60500,-18%,-18%,High,100,0.98,3.63,5%
cut of diamonds,USD,60500,0%,-55%,High,100,0.86,3.16,< 1%
wedding rings for him,USD,60500,0%,-18%,High,100,1.36,4.11,2%
gold male wedding bands,USD,60500,-18%,0%,High,100,1.03,3.66,7%
diamond proposal ring,USD,60500,82%,233%,High,100,2.00,8.50,8%
diamond engagement band,USD,60500,82%,233%,High,100,2.00,8.50,8%
mens rings wedding bands,USD,60500,0%,-18%,High,100,1.36,4.11,2%
3.0 carat diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
gold male wedding rings,USD,60500,-18%,0%,High,100,1.03,3.66,7%
gold wedding band male,USD,60500,-18%,0%,High,100,1.03,3.66,7%
diamond 3 carat engagement ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
gold wedding band for him,USD,60500,-18%,0%,High,100,1.03,3.66,7%
ring 3 carat diamond,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
3.0 ct diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
guys rings wedding,USD,60500,0%,-18%,High,100,1.36,4.11,2%
3 carat ring diamond,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
guy marriage rings,USD,60500,0%,-18%,High,100,1.36,4.11,2%
ring wedding for men,USD,60500,0%,-18%,High,100,1.36,4.11,2%
3.00 ct diamond ring,USD,60500,-18%,-18%,High,100,1.38,3.43,8%
gents wedding ring gold,USD,60500,-18%,0%,High,100,1.03,3.66,7%
guys gold wedding bands,USD,60500,-18%,0%,High,100,1.03,3.66,7%
men and wedding rings,USD,60500,0%,-18%,High,100,1.36,4.11,2%
wedding ring sets,USD,49500,0%,0%,High,100,0.83,3.75,26%
bridal set rings,USD,49500,0%,0%,High,100,0.83,3.75,26%
custom engagement rings,USD,49500,-55%,83%,High,99,2.56,7.69,< 1%
unique engagement rings,USD,49500,0%,22%,High,100,1.05,2.95,2%
vintage engagement rings,USD,49500,-33%,-18%,High,100,1.05,2.66,2%
2 carat diamond ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
mens engagement rings,USD,49500,49%,49%,High,100,1.35,3.73,1%
engagement rings near me,USD,49500,0%,22%,High,81,1.74,9.08,1%
diamond jewellery,USD,49500,306%,1010%,High,82,1.65,6.22,1%
2 ct diamond ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
wedding rings near me,USD,49500,0%,22%,High,81,1.74,9.08,1%
2 carat diamond engagement ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
two carat diamond ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
custom engagement rings online,USD,49500,4443%,22900%,High,97,2.26,6.89,< 1%
mens engagement bands,USD,49500,49%,49%,High,100,1.35,3.73,1%
engagement rings for him,USD,49500,49%,49%,High,100,1.35,3.73,1%
2ct diamond engagement ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
2 carat wedding ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
marriage rings set,USD,49500,0%,0%,High,100,0.83,3.75,26%
2.0 carat diamond ring,USD,49500,-18%,-18%,High,100,1.46,3.74,17%
guy engagement ring,USD,49500,49%,49%,High,100,1.35,3.73,1%
male engagement bands,USD,49500,49%,49%,High,100,1.35,3.73,1%
proposal ring for men,USD,49500,49%,49%,High,100,1.35,3.73,1%
bridal band sets,USD,49500,0%,0%,High,100,0.83,3.75,26%
ring engagement men,USD,49500,49%,49%,High,100,1.35,3.73,1%
proposal ring men,USD,49500,49%,49%,High,100,1.35,3.73,1%
ring and wedding band set,USD,49500,0%,0%,High,100,0.83,3.75,26%
engagement ringsfor men,USD,49500,49%,49%,High,100,1.35,3.73,1%
ring for engagement for men,USD,49500,49%,49%,High,100,1.35,3.73,1%
ring men engagement,USD,49500,49%,49%,High,100,1.35,3.73,1%
set in wedding band,USD,49500,0%,0%,High,100,0.83,3.75,26%
emerald engagement rings,USD,40500,-18%,-18%,High,100,1.55,5.38,1%
sapphire engagement rings,USD,40500,-18%,0%,High,100,1.45,3.92,1%
tungsten rings,USD,40500,22%,22%,High,100,0.91,2.50,< 1%
princess cut diamond,USD,40500,-18%,-18%,High,100,1.35,4.25,1%
mens diamond wedding bands,USD,40500,-18%,0%,High,100,1.04,3.58,40%
mens wedding rings with diamonds,USD,40500,-18%,0%,High,100,1.04,3.58,40%
male wedding rings with diamonds,USD,40500,-18%,0%,High,100,1.04,3.58,40%
diamond wedding band for him,USD,40500,-18%,0%,High,100,1.04,3.58,40%
wedding ring men diamond,USD,40500,-18%,0%,High,100,1.04,3.58,40%
wedding ring diamond men,USD,40500,-18%,0%,High,100,1.04,3.58,40%
guy wedding rings with diamonds,USD,40500,-18%,0%,High,100,1.04,3.58,40%
guys diamond wedding rings,USD,40500,-18%,0%,High,100,1.04,3.58,40%
wedding rings with diamonds for men,USD,40500,-18%,0%,High,100,1.04,3.58,40%
lab diamond,USD,33100,-18%,0%,High,97,2.56,11.61,2%
diamond rings for women,USD,33100,-45%,-18%,High,100,1.30,4.15,19%
silicone wedding bands,USD,33100,-18%,-33%,High,100,0.70,2.65,< 1%
pear shaped engagement ring,USD,33100,-18%,0%,High,100,1.71,5.14,2%
princess cut diamond ring,USD,33100,-18%,0%,High,100,1.26,4.24,6%
gold engagement rings,USD,33100,-33%,0%,High,100,1.52,4.00,3%
diamond earrings for men,USD,33100,-18%,0%,High,100,0.85,2.98,5%
radiant cut diamond,USD,33100,-18%,-55%,High,100,1.57,5.07,1%
lab grown diamonds earrings,USD,33100,-55%,22%,High,100,2.21,10.28,20%
gold jewellery shops near me,USD,33100,0%,22%,High,99,1.28,4.91,< 1%
gold jewellery store near me,USD,33100,0%,22%,High,99,1.28,4.91,< 1%
lab diamond engagement rings,USD,27100,0%,23%,High,100,2.56,11.23,12%
lab diamond rings,USD,27100,0%,23%,High,100,2.56,11.23,12%
lab grown engagement rings,USD,27100,-18%,49%,High,100,3.07,14.37,5%
cheap engagement rings,USD,27100,-33%,-18%,High,100,0.99,4.00,6%
black diamond ring,USD,27100,0%,-18%,High,100,1.08,4.39,25%
princess cut engagement ring,USD,27100,-18%,0%,High,100,1.41,4.46,5%
cushion cut diamond,USD,27100,-18%,22%,High,100,1.42,4.42,1%
5 carat diamond ring,USD,27100,0%,49%,High,100,1.36,3.20,7%
4 carat diamond ring,USD,27100,22%,83%,High,100,1.33,3.20,5%
mens black wedding band,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
gold wedding rings,USD,27100,0%,22%,High,100,0.93,2.87,3%
princess cut,USD,27100,0%,-18%,High,100,1.67,5.03,< 1%
real diamond engagement rings,USD,27100,-45%,49%,High,100,1.50,5.44,10%
real diamond rings,USD,27100,-45%,49%,High,100,1.50,5.44,10%
black wedding rings for men,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
moi et toi ring,USD,27100,-33%,0%,High,100,1.49,4.31,2%
ladies wedding rings,USD,27100,0%,0%,High,100,0.80,3.25,13%
4 ct diamond ring,USD,27100,22%,83%,High,100,1.33,3.20,5%
5 ct diamond ring,USD,27100,0%,49%,High,100,1.36,3.20,7%
white diamonds,USD,27100,22%,22%,Medium,36,0.33,3.43,< 1%
black male wedding band,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
men's black wedding bands,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
five carat diamond ring,USD,27100,0%,49%,High,100,1.36,3.20,7%
5 carat diamond engagement ring,USD,27100,0%,49%,High,100,1.36,3.20,7%
jewelery brands,USD,27100,0%,0%,High,100,0.82,2.71,< 1%
men's black wedding band,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
men's black wedding rings,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
indian jewlery,USD,27100,0%,-18%,High,100,0.50,1.98,< 1%
black wedding rings for him,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
black wedding bands for him,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
four carat diamond ring,USD,27100,22%,83%,High,100,1.33,3.20,5%
4 carat wedding ring,USD,27100,22%,83%,High,100,1.33,3.20,5%
black male wedding ring,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
dark mens wedding bands,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
women marriage rings,USD,27100,0%,0%,High,100,1.07,3.97,5%
black wedding band male,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
mens black band wedding rings,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
jewlerry shops near me,USD,27100,0%,0%,High,98,1.05,4.17,3%
mens wedding bands with black,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
black wedding rings for guys,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
guys black wedding bands,USD,27100,0%,-18%,High,100,1.21,3.90,< 1%
diamond earrings for women,USD,22200,-33%,0%,High,100,0.73,5.13,9%
diamond hoop earrings,USD,22200,-45%,-33%,High,100,0.97,4.69,8%
rose gold engagement rings,USD,22200,-33%,-33%,High,100,1.46,4.46,4%
1 carat diamond ring,USD,22200,-18%,0%,High,100,1.28,3.95,13%
black diamond engagement ring,USD,22200,-55%,-33%,High,100,1.78,4.75,12%
diamond wedding bands,USD,22200,-18%,-18%,High,100,1.32,4.32,11%
moss agate engagement ring,USD,22200,-33%,-33%,High,100,1.28,5.32,< 1%
marquise engagement ring,USD,22200,-33%,50%,High,100,1.93,5.21,1%
emerald cut diamond,USD,22200,0%,-18%,High,100,1.67,4.89,< 1%
mens diamond rings,USD,22200,-18%,-18%,High,100,0.84,3.53,70%
mens tungsten wedding bands,USD,22200,-45%,0%,High,100,1.44,4.35,< 1%
oval diamond ring,USD,22200,-18%,22%,High,100,1.81,4.55,2%
silicone wedding bands for men,USD,22200,-33%,0%,High,100,1.10,2.65,
halo ring,USD,22200,-18%,-33%,High,100,1.59,5.23,< 1%
moissanite diamond,USD,22200,-18%,0%,High,100,0.55,2.22,3%
marquise diamond ring,USD,22200,0%,174%,High,100,1.47,3.82,2%
mens white gold wedding bands,USD,22200,0%,0%,High,100,0.97,3.90,23%
aquamarine rings,USD,22200,0%,-33%,High,100,0.74,3.69,1%
gold diamond ring,USD,22200,22%,124%,High,100,1.39,3.91,6%
black diamond wedding rings,USD,22200,-55%,-33%,High,100,1.78,4.75,12%
engagement ring and wedding band,USD,22200,-18%,0%,High,100,1.50,4.70,9%
brilliant diamonds,USD,22200,0%,50%,High,89,3.06,10.03,1%
silicone wedding rings for men,USD,22200,-33%,0%,High,100,1.10,2.65,
engagement rings with wedding band,USD,22200,-18%,0%,High,100,1.50,4.70,9%
gold and diamond ring,USD,22200,22%,124%,High,100,1.39,3.91,6%
wedding musicians,USD,22200,-18%,-18%,Low,9,0.94,5.31,
mens white gold wedding ring,USD,22200,0%,0%,High,100,0.97,3.90,23%
engagement ring with wedding band,USD,22200,-18%,0%,High,100,1.50,4.70,9%
wedding ring and engagement ring,USD,22200,-18%,0%,High,100,1.50,4.70,9%
diamond band wedding ring,USD,22200,-18%,-18%,High,100,1.32,4.32,11%
commitment rings for couples,USD,22200,-63%,22%,High,100,0.50,1.88,< 1%
tungsten male wedding bands,USD,22200,-45%,0%,High,100,1.44,4.35,< 1%
male diamond ring,USD,22200,-18%,-18%,High,100,0.84,3.53,70%
men's wedding bands tungsten,USD,22200,-45%,0%,High,100,1.44,4.35,< 1%
tungsten wedding bands for him,USD,22200,-45%,0%,High,100,1.44,4.35,< 1%
colored diamond,USD,22200,0%,22%,High,93,1.02,4.77,< 1%
white gold wedding bands for him,USD,22200,0%,0%,High,100,0.97,3.90,23%
engagement and wedding band,USD,22200,-18%,0%,High,100,1.50,4.70,9%
white gold male wedding bands,USD,22200,0%,0%,High,100,0.97,3.90,23%
pearl jewerly,USD,22200,0%,22%,High,100,0.83,3.50,< 1%
wedding ring engagement ring,USD,22200,-18%,0%,High,100,1.50,4.70,9%
men's tungsten wedding band,USD,22200,-45%,0%,High,100,1.44,4.35,< 1%
gold and white gold mens wedding band,USD,22200,0%,0%,High,100,0.97,3.90,23%
engagement ring wedding ring,USD,22200,-18%,0%,High,100,1.50,4.70,9%
wedding band of diamonds,USD,22200,-18%,-18%,High,100,1.32,4.32,11%
wedding band with a diamond,USD,22200,-18%,-18%,High,100,1.32,4.32,11%
diamond rings for guys,USD,22200,-18%,-18%,High,100,0.84,3.53,70%
mens wedding silicone bands,USD,22200,-33%,0%,High,100,1.10,2.65,
opal engagement ring,USD,18100,-18%,-18%,High,100,1.11,4.04,< 1%
silicone rings for men,USD,18100,-18%,0%,High,100,1.13,2.65,
salt and pepper diamond,USD,18100,0%,0%,High,100,1.19,4.22,< 1%
gold wedding bands,USD,18100,0%,0%,High,100,0.95,3.25,3%
radiant cut engagement rings,USD,18100,-18%,0%,High,100,2.00,5.69,1%
unique mens wedding bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
art deco engagement rings,USD,18100,-18%,0%,High,100,1.21,3.19,1%
mens platinum wedding bands,USD,18100,0%,0%,High,100,1.68,5.61,7%
wedding ring sets for women,USD,18100,0%,0%,High,100,0.73,3.43,30%
solitaire diamond ring,USD,18100,-76%,124%,High,100,1.70,4.81,10%
unique wedding rings,USD,18100,-18%,-18%,High,100,0.92,3.07,2%
vintage wedding rings,USD,18100,-18%,0%,High,100,0.86,2.44,3%
elongated cushion cut,USD,18100,-18%,50%,High,100,2.02,5.55,< 1%
unique wedding bands,USD,18100,-18%,-18%,High,100,0.92,3.07,2%
baguette diamond,USD,18100,0%,-70%,High,100,1.44,5.36,< 1%
gold wedding rings for women,USD,18100,-18%,0%,High,100,0.87,3.25,6%
jewellery sale,USD,18100,-18%,49%,High,100,0.34,2.57,4%
marquise ring,USD,18100,-33%,83%,High,100,1.51,3.93,< 1%
wedding rings for couples,USD,18100,-45%,22%,High,100,0.89,3.14,12%
wedding bands for couples,USD,18100,-45%,22%,High,100,0.89,3.14,12%
antler ring,USD,18100,-18%,22%,High,100,0.86,5.03,
cool mens wedding bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
wedding band sets for women,USD,18100,0%,0%,High,100,0.73,3.43,30%
jewellery website,USD,18100,0%,-46%,High,100,1.14,3.40,< 1%
mens platinum wedding rings,USD,18100,0%,0%,High,100,1.68,5.61,7%
unique mens wedding rings,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
selling jewellery near me,USD,18100,0%,0%,Medium,52,2.39,7.58,< 1%
hailey bieber engagement ring,USD,18100,-33%,50%,High,94,1.54,10.60,< 1%
womens bridal sets,USD,18100,0%,0%,High,100,0.73,3.43,30%
engagement ring style,USD,18100,-18%,0%,High,100,1.27,3.11,< 1%
art deco wedding ring,USD,18100,-18%,0%,High,100,1.21,3.19,1%
unique male wedding bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
platinum male wedding bands,USD,18100,0%,0%,High,100,1.68,5.61,7%
men's wedding rings platinum,USD,18100,0%,0%,High,100,1.68,5.61,7%
biggest diamond in the world,USD,18100,22%,22%,Low,0,,,
marriage rings for him,USD,18100,0%,0%,High,100,1.09,3.79,2%
men's unique wedding bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
ladies wedding ring sets,USD,18100,0%,0%,High,100,0.73,3.43,30%
interesting mens wedding bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
unusual mens wedding rings,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
platinum wedding bands for him,USD,18100,0%,0%,High,100,1.68,5.61,7%
women's bridal ring sets,USD,18100,0%,0%,High,100,0.73,3.43,30%
marriage rings for couples,USD,18100,-45%,22%,High,100,0.89,3.14,12%
blake lively wedding ring,USD,18100,-46%,-34%,Medium,62,2.96,8.86,< 1%
unique male wedding rings,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
wedding band male platinum,USD,18100,0%,0%,High,100,1.68,5.61,7%
largest diamonds in the world,USD,18100,22%,22%,Low,0,,,
interesting mens wedding rings,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
antique jewellery shop near me,USD,18100,-46%,123%,High,99,0.78,2.93,< 1%
unusual men's wedding rings,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
bridal rings gold,USD,18100,0%,0%,High,100,0.95,3.25,3%
female wedding ring sets,USD,18100,0%,0%,High,100,0.73,3.43,30%
cool wedding bands for guys,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
men's wedding band unique,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
unique mens engagement bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
ladies wedding band set,USD,18100,0%,0%,High,100,0.73,3.43,30%
men's unique wedding ring,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
platinum guys wedding band,USD,18100,0%,0%,High,100,1.68,5.61,7%
unique mens wedding rings bands,USD,18100,-33%,-33%,High,100,1.11,3.61,1%
affordable engagement rings,USD,14800,-18%,-18%,High,100,1.53,5.42,5%
1 carat diamond earrings,USD,14800,-33%,-18%,High,100,0.94,4.42,19%
halo engagement rings,USD,14800,-18%,-18%,High,100,1.61,5.53,4%
ruby engagement rings,USD,14800,-45%,0%,High,100,1.36,5.10,< 1%
solitaire ring,USD,14800,-18%,0%,High,100,1.79,5.04,2%
white gold engagement rings,USD,14800,0%,22%,High,100,1.49,4.32,6%
emerald cut diamond ring,USD,14800,23%,50%,High,100,1.61,4.82,2%
pink diamond ring,USD,14800,-18%,0%,High,100,1.47,3.28,6%
rubber wedding bands,USD,14800,0%,-18%,High,100,0.61,2.65,
gemstone engagement rings,USD,14800,22%,22%,High,100,1.15,3.37,3%
oval diamond engagement ring,USD,14800,-55%,49%,High,100,2.00,6.64,3%
alexandrite engagement ring,USD,14800,-33%,-18%,High,100,1.22,4.91,< 1%
cheap wedding rings,USD,14800,0%,-18%,High,100,0.94,3.09,5%
wedding band sets,USD,14800,-18%,-18%,High,100,1.02,3.60,26%
pear shaped diamond ring,USD,14800,-18%,22%,High,100,1.71,5.57,2%
asscher cut diamond,USD,14800,-33%,0%,High,100,1.19,3.69,1%
diamond wedding rings for women,USD,14800,-18%,0%,High,100,1.08,3.90,31%
engagement and wedding ring set,USD,14800,0%,0%,High,100,1.33,5.09,24%
diamond wedding bands for women,USD,14800,-18%,0%,High,100,1.08,3.90,31%
1 ct diamond earrings,USD,14800,-33%,-18%,High,100,0.94,4.42,19%
emerald cut ring,USD,14800,-18%,0%,High,100,1.58,4.35,< 1%
emerald and diamond ring,USD,14800,-33%,0%,High,100,1.56,5.93,2%
affordable wedding rings,USD,14800,0%,-18%,High,100,0.94,3.09,5%
bezel set engagement ring,USD,14800,-18%,50%,High,100,1.59,4.49,< 1%
pear diamond ring,USD,14800,-18%,22%,High,100,1.71,5.57,2%
pear diamond engagement ring,USD,14800,-18%,22%,High,100,1.71,5.57,2%
bezel engagement ring,USD,14800,-18%,50%,High,100,1.59,4.49,< 1%
cheap wedding bands,USD,14800,0%,-18%,High,100,0.94,3.09,5%
rubber wedding rings,USD,14800,0%,-18%,High,100,0.61,2.65,
mens silver wedding bands,USD,14800,-18%,0%,High,100,0.97,3.26,1%
emerald diamond engagement rings,USD,14800,-33%,0%,High,100,1.56,5.93,2%
emerald and diamond engagement ring,USD,14800,-33%,0%,High,100,1.56,5.93,2%
engagement wedding ring set,USD,14800,0%,0%,High,100,1.33,5.09,24%
engagement ring and wedding band set,USD,14800,0%,0%,High,100,1.33,5.09,24%
halo wedding rings,USD,14800,-18%,-18%,High,100,1.61,5.53,4%
emerald cut diamond band,USD,14800,23%,50%,High,100,1.61,4.82,2%
inexpensive wedding rings,USD,14800,0%,-18%,High,100,0.94,3.09,5%
mens silver wedding ring,USD,14800,-18%,0%,High,100,0.97,3.26,1%
stone engagement rings,USD,14800,22%,22%,High,100,1.15,3.37,3%
personalized engagement rings,USD,14800,51438%,62713%,High,87,2.00,6.34,< 1%
engagement ring wedding band set,USD,14800,0%,0%,High,100,1.33,5.09,24%
inexpensive wedding bands,USD,14800,0%,-18%,High,100,0.94,3.09,5%
meteorite wedding ring,USD,14800,22%,0%,High,100,0.93,3.22,< 1%
wedding ring and engagement ring set,USD,14800,0%,0%,High,100,1.33,5.09,24%
crystal jewlery,USD,14800,-45%,0%,High,100,0.85,2.72,< 1%
engagement and wedding band sets,USD,14800,0%,0%,High,100,1.33,5.09,24%
oval diamond wedding ring,USD,14800,-55%,49%,High,100,2.00,6.64,3%
budget wedding rings,USD,14800,0%,-18%,High,100,0.94,3.09,5%
wedding ring engagement ring set,USD,14800,0%,0%,High,100,1.33,5.09,24%
ct diamond,USD,14800,-18%,0%,High,90,1.30,5.01,1%
carats of diamonds,USD,14800,-18%,0%,High,90,1.30,5.01,1%
engagement wedding band sets,USD,14800,0%,0%,High,100,1.33,5.09,24%
silver wedding bands for him,USD,14800,-18%,0%,High,100,0.97,3.26,1%
kimberly guilfoyle engagement ring,USD,14800,-98%,-75%,Low,14,,,
marriage bands set,USD,14800,-18%,-18%,High,100,1.02,3.60,26%
top jewlery stores,USD,14800,-72%,0%,High,98,1.36,5.82,3%
silver male wedding bands,USD,14800,-18%,0%,High,100,0.97,3.26,1%
male silver wedding bands,USD,14800,-18%,0%,High,100,0.97,3.26,1%
engagement rings and bridal sets,USD,14800,0%,0%,High,100,1.33,5.09,24%
best lab grown diamonds,USD,12100,0%,0%,High,100,4.52,20.31,2%
hidden halo engagement ring,USD,12100,0%,0%,High,100,2.31,9.23,< 1%
build your own engagement ring,USD,12100,49%,650%,High,91,2.00,5.48,< 1%
cushion cut engagement rings,USD,12100,-18%,0%,High,100,1.83,4.98,2%
2 carat diamond earrings,USD,12100,-18%,0%,High,100,1.34,5.19,65%
antique engagement rings,USD,12100,-18%,0%,High,100,0.86,2.65,2%
yellow diamond ring,USD,12100,-18%,0%,High,100,1.48,3.62,4%
pear engagement rings,USD,12100,-18%,0%,High,100,1.99,5.66,< 1%
simple engagement rings,USD,12100,-18%,-33%,High,100,1.27,3.15,< 1%
diamond wedding rings,USD,12100,0%,0%,High,100,1.43,4.23,17%
moissanite wedding bands,USD,12100,-45%,-33%,High,100,1.15,4.32,2%
gold engagement rings for women,USD,12100,-18%,22%,High,100,1.48,4.07,6%
white gold wedding bands,USD,12100,-18%,0%,High,100,0.87,3.46,13%
black wedding rings,USD,12100,0%,-18%,High,100,1.01,3.50,2%
morganite rings,USD,12100,-33%,-45%,High,100,0.70,2.74,6%
3 carat lab grown diamond,USD,12100,-18%,-45%,High,100,1.58,4.73,7%
amethyst engagement ring,USD,12100,-19%,0%,High,100,1.64,5.90,2%
